banos,ciudad,codigoPostal,comunidad,habitaciones,link,nombre,particular,planta,precio,referencia,superficie,web
2 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-trastero-ascensor/145724082/d?RowGrid=1&tti=1&opi=300,,Profesional,3,479.000,145724082,122,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-ascensor/150279879/d?RowGrid=3&tti=1&opi=300,,Profesional,5,525.000,150279879,86,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/149948215/d?RowGrid=2&tti=1&opi=300,,Profesional,5,278.000,149948215,53,Fotocasa
1 baño, Madrid Capital,,Madrid,1 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-parking-terraza-trastero-ascensor-piscina-piscina/150139609/d?RowGrid=2&tti=1&opi=300,,Profesional,2,219.900,150139609,86,Fotocasa
1 baño, Madrid Capital,,Madrid,3 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-terraza-ascensor/150155570/d?RowGrid=1&tti=1&opi=300,,Profesional,3,235.000,150155570,76,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion/150548627/d?RowGrid=4&tti=1&opi=300,,Profesional,1,85.000,150548627,35,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/terraza/150127672/d?RowGrid=1&tti=1&opi=300,,Profesional,3,135.000,150127672,55,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor-amueblado/150412487/d?RowGrid=4&tti=1&opi=300,,Profesional,2,115.000,150412487,68,Fotocasa
2 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-trastero-zona-comunitaria-ascensor-parking-piscina/149721823/d?RowGrid=3&tti=1&opi=300,,Profesional,5,295.000,149721823,108,Fotocasa
3 baño, Madrid Capital,,Madrid,4 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/calefaccion-parking-jardin-trastero-piscina/148658103/d?RowGrid=1&tti=1&opi=300,,Profesional,3339,2.250,148658103,540,Fotocasa
1 baño, Madrid Capital,,Madrid,1 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/aire-acondicionado-calefaccion-ascensor/150293660/d?RowGrid=2&tti=1&opi=300,,Profesional,2,200.000,150293660,50,Fotocasa
1 baño, Madrid Capital,,Madrid,2 hab,https://www.fotocasa.es/es/comprar/vivienda/madrid-capital/parking/149577251/d?RowGrid=1&tti=1&opi=300,,Profesional,2,277.000,149577251,100,Fotocasa
